Member_number,Date,itemDescription,cleaned,mapped
1158,17-10-2015,butter,butter,butter
2443,20-06-2015,soda,soda,soda
1395,15-01-2015,beverages,beverages,beverages
2454,10-11-2015,whole milk,whole milk,whole milk
3472,30-04-2015,whipped/sour cream,whippedsour cream,dairy
3547,28-11-2015,domestic eggs,domestic eggs,domestic eggs
1038,21-02-2015,butter,butter,butter
3915,11-09-2015,canned fruit,canned fruit,canned fruit
2719,19-04-2015,berries,berries,berries
2234,23-12-2015,waffles,waffles,bakery
1565,14-12-2015,tea,tea,tea
1328,24-03-2015,shopping bags,shopping bags,bags
3398,18-01-2015,citrus fruit,citrus fruit,citrus fruit
3687,12-02-2015,herbs,herbs,herbs
1572,23-05-2015,other vegetables,other vegetables,vegetables
3460,24-11-2015,frozen vegetables,frozen vegetables,vegetables
2352,05-05-2015,pastry,pastry,pastry
4816,31-07-2015,other vegetables,other vegetables,vegetables
1152,19-07-2015,domestic eggs,domestic eggs,domestic eggs
1120,11-06-2015,specialty bar,specialty bar,specialty bar
4258,18-07-2015,chocolate,chocolate,sweets
4336,10-09-2015,soda,soda,soda
1395,25-08-2015,salty snack,salty snack,snacks
3581,24-09-2015,baking powder,baking powder,baking_ingredients
1762,01-07-2015,bottled beer,bottled beer,beverages
2659,08-12-2015,brown bread,brown bread,brown bread
4120,17-01-2015,roll products ,roll products,bakery
2420,08-03-2015,shopping bags,shopping bags,bags
2816,30-09-2015,root vegetables,root vegetables,root vegetables
1711,26-02-2015,whole milk,whole milk,whole milk
2884,28-12-2015,dessert,dessert,dessert
4153,13-06-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
2184,11-05-2015,curd,curd,curd
4381,30-09-2015,other vegetables,other vegetables,vegetables
2920,27-03-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
3967,21-01-2015,root vegetables,root vegetables,root vegetables
3135,13-03-2015,specialty bar,specialty bar,specialty bar
3459,05-08-2015,sugar,sugar,sweeteners
2868,09-01-2015,semi-finished bread,semifinished bread,semifinished bread
2989,06-01-2015,pip fruit,pip fruit,pip fruit
1440,06-09-2015,shopping bags,shopping bags,bags
2796,19-05-2015,dessert,dessert,dessert
1074,16-10-2015,flower (seeds),flower seeds,gardening
2565,28-09-2015,frozen dessert,frozen dessert,frozen dessert
1197,16-01-2015,chocolate,chocolate,sweets
1971,16-08-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
3327,26-03-2015,bottled water,bottled water,bottled water
1168,06-03-2015,frozen vegetables,frozen vegetables,vegetables
2814,18-09-2015,specialty bar,specialty bar,specialty bar
3298,26-05-2015,whole milk,whole milk,whole milk
3728,12-11-2015,frozen potato products,frozen potato products,frozen potato products
2116,29-08-2015,yogurt,yogurt,yogurt
1139,19-01-2015,misc. beverages,misc beverages,misc beverages
2463,26-12-2015,soda,soda,soda
2978,27-06-2015,hygiene articles,hygiene articles,hygiene articles
4525,07-10-2015,hygiene articles,hygiene articles,hygiene articles
1213,14-09-2015,bottled beer,bottled beer,beverages
4332,24-11-2015,processed cheese,processed cheese,dairy
1729,15-12-2015,pet care,pet care,pet_care
1695,04-02-2015,rolls/buns,rollsbuns,bakery
3503,29-11-2015,pip fruit,pip fruit,pip fruit
3686,06-01-2015,whole milk,whole milk,whole milk
4264,11-05-2015,popcorn,popcorn,snacks
1545,28-02-2015,white wine,white wine,beverages
3195,08-07-2015,hygiene articles,hygiene articles,hygiene articles
1409,17-02-2015,whole milk,whole milk,whole milk
2800,21-06-2015,brown bread,brown bread,brown bread
4453,27-07-2015,soda,soda,soda
4820,18-01-2015,chocolate,chocolate,sweets
3716,08-10-2015,cake bar,cake bar,sweets
3270,15-05-2015,bottled water,bottled water,bottled water
3410,16-01-2015,spread cheese,spread cheese,dairy
3651,16-10-2015,newspapers,newspapers,stationery
2049,06-01-2015,grapes,grapes,fruits
3507,27-08-2015,frozen meals,frozen meals,frozen meals
3184,20-11-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
2648,29-01-2015,root vegetables,root vegetables,root vegetables
1566,24-02-2015,soda,soda,soda
4105,05-02-2015,whipped/sour cream,whippedsour cream,dairy
3537,25-01-2015,yogurt,yogurt,yogurt
2300,05-08-2015,long life bakery product,long life bakery product,bakery
3794,04-01-2015,other vegetables,other vegetables,vegetables
3756,11-07-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
4197,06-02-2015,house keeping products,house keeping products,household
4661,10-05-2015,salty snack,salty snack,snacks
3738,30-12-2015,flour,flour,grains
4567,02-10-2015,root vegetables,root vegetables,root vegetables
2831,06-01-2015,frozen dessert,frozen dessert,frozen dessert
4841,09-06-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1776,15-04-2015,canned beer,canned beer,beverages
1364,31-07-2015,whipped/sour cream,whippedsour cream,dairy
1926,16-10-2015,whole milk,whole milk,whole milk
3496,22-09-2015,soda,soda,soda
1498,28-10-2015,whole milk,whole milk,whole milk
4436,23-12-2015,hygiene articles,hygiene articles,hygiene articles
4098,06-02-2015,whole milk,whole milk,whole milk
4707,11-02-2015,root vegetables,root vegetables,root vegetables
4358,11-06-2015,chewing gum,chewing gum,chewing gum
3290,29-05-2015,soda,soda,soda
1940,04-06-2015,rolls/buns,rollsbuns,bakery
3363,18-08-2015,other vegetables,other vegetables,vegetables
1782,01-08-2015,napkins,napkins,napkins
2756,23-11-2015,curd,curd,curd
4379,01-10-2015,sugar,sugar,sweeteners
4686,08-10-2015,other vegetables,other vegetables,vegetables
1230,06-04-2015,other vegetables,other vegetables,vegetables
2918,19-07-2015,bathroom cleaner,bathroom cleaner,cleaning
4604,09-12-2015,margarine,margarine,margarine
4489,19-11-2015,curd,curd,curd
4408,20-04-2015,butter,butter,butter
1846,28-05-2015,bottled beer,bottled beer,beverages
1658,15-06-2015,butter,butter,butter
3046,09-01-2015,whole milk,whole milk,whole milk
4528,13-10-2015,yogurt,yogurt,yogurt
1132,22-09-2015,whole milk,whole milk,whole milk
2386,05-12-2015,sugar,sugar,sweeteners
4741,08-09-2015,finished products,finished products,misc
3971,19-10-2015,rolls/buns,rollsbuns,bakery
3029,14-02-2015,shopping bags,shopping bags,bags
2758,06-02-2015,curd,curd,curd
3969,05-03-2015,rolls/buns,rollsbuns,bakery
2829,29-10-2015,candles,candles,decor
4573,23-12-2015,rolls/buns,rollsbuns,bakery
4726,08-07-2015,chicken,chicken,meat
3929,06-11-2015,spread cheese,spread cheese,dairy
1286,10-07-2015,coffee,coffee,coffee
1648,01-05-2015,pastry,pastry,pastry
1544,25-02-2015,salty snack,salty snack,snacks
2925,16-03-2015,yogurt,yogurt,yogurt
1276,23-11-2015,hard cheese,hard cheese,hard cheese
1908,26-07-2015,butter,butter,butter
2519,30-05-2015,whipped/sour cream,whippedsour cream,dairy
3096,07-07-2015,soups,soups,soups
1001,02-05-2015,curd,curd,curd
4699,29-03-2015,curd,curd,curd
1417,18-09-2015,salty snack,salty snack,snacks
4034,29-08-2015,whole milk,whole milk,whole milk
4711,19-06-2015,whole milk,whole milk,whole milk
3584,17-12-2015,whole milk,whole milk,whole milk
2981,03-12-2015,whole milk,whole milk,whole milk
1820,21-03-2015,brown bread,brown bread,brown bread
3793,15-04-2015,whole milk,whole milk,whole milk
1965,04-08-2015,other vegetables,other vegetables,vegetables
4903,01-05-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1845,11-02-2015,margarine,margarine,margarine
2384,02-01-2015,tropical fruit,tropical fruit,tropical fruit
2584,25-04-2015,soap,soap,soap
1193,12-11-2015,root vegetables,root vegetables,root vegetables
4267,06-09-2015,whole milk,whole milk,whole milk
2707,05-05-2015,whole milk,whole milk,whole milk
3214,08-05-2015,yogurt,yogurt,yogurt
1171,15-01-2015,beverages,beverages,beverages
1950,11-11-2015,whole milk,whole milk,whole milk
4737,19-09-2015,root vegetables,root vegetables,root vegetables
3589,04-11-2015,yogurt,yogurt,yogurt
2246,29-08-2015,berries,berries,berries
2128,10-08-2015,soda,soda,soda
3866,21-04-2015,bottled water,bottled water,bottled water
1882,09-07-2015,root vegetables,root vegetables,root vegetables
2574,25-08-2015,seasonal products,seasonal products,seasonal products
2011,22-12-2015,other vegetables,other vegetables,vegetables
4223,20-07-2015,other vegetables,other vegetables,vegetables
2068,07-04-2015,rolls/buns,rollsbuns,bakery
3035,09-05-2015,candles,candles,decor
2597,08-05-2015,napkins,napkins,napkins
1306,08-01-2015,frozen vegetables,frozen vegetables,vegetables
1789,24-04-2015,male cosmetics,male cosmetics,personal_care
1003,10-02-2015,rolls/buns,rollsbuns,bakery
3378,13-01-2015,canned beer,canned beer,beverages
4460,01-05-2015,sliced cheese,sliced cheese,sliced cheese
1961,21-06-2015,dish cleaner,dish cleaner,cleaning
4576,18-06-2015,grapes,grapes,fruits
3061,10-02-2015,berries,berries,berries
1016,19-07-2015,red/blush wine,redblush wine,beverages
3528,19-05-2015,rolls/buns,rollsbuns,bakery
4566,10-03-2015,butter,butter,butter
1979,20-11-2015,frozen meals,frozen meals,frozen meals
3662,03-12-2015,whole milk,whole milk,whole milk
2700,13-05-2015,yogurt,yogurt,yogurt
2432,12-12-2015,condensed milk,condensed milk,condensed milk
2693,17-08-2015,yogurt,yogurt,yogurt
1456,20-11-2015,domestic eggs,domestic eggs,domestic eggs
4081,20-10-2015,rolls/buns,rollsbuns,bakery
4588,30-06-2015,bottled beer,bottled beer,beverages
1892,08-03-2015,specialty bar,specialty bar,specialty bar
1922,07-02-2015,pip fruit,pip fruit,pip fruit
1440,06-12-2015,tropical fruit,tropical fruit,tropical fruit
1420,19-06-2015,hygiene articles,hygiene articles,hygiene articles
2273,21-10-2015,other vegetables,other vegetables,vegetables
4910,25-11-2015,pastry,pastry,pastry
4593,04-08-2015,rolls/buns,rollsbuns,bakery
1380,21-11-2015,soda,soda,soda
4035,26-07-2015,frozen dessert,frozen dessert,frozen dessert
3063,28-12-2015,root vegetables,root vegetables,root vegetables
2558,12-08-2015,rolls/buns,rollsbuns,bakery
1744,27-06-2015,soda,soda,soda
3162,06-06-2015,bottled water,bottled water,bottled water
3216,12-02-2015,newspapers,newspapers,stationery
4783,27-01-2015,yogurt,yogurt,yogurt
2592,25-09-2015,bottled beer,bottled beer,beverages
3141,19-07-2015,rolls/buns,rollsbuns,bakery
2315,20-12-2015,other vegetables,other vegetables,vegetables
3318,12-01-2015,cat food,cat food,pet_care
4594,02-05-2015,meat spreads,meat spreads,meat spreads
2428,14-08-2015,white wine,white wine,beverages
4613,17-05-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1676,11-10-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1259,21-11-2015,sliced cheese,sliced cheese,sliced cheese
3930,12-07-2015,yogurt,yogurt,yogurt
3995,26-06-2015,pip fruit,pip fruit,pip fruit
1038,14-12-2015,butter,butter,butter
4794,06-09-2015,soda,soda,soda
3960,21-09-2015,whole milk,whole milk,whole milk
3077,05-01-2015,vinegar,vinegar,condiments
1161,14-03-2015,whole milk,whole milk,whole milk
1800,16-04-2015,brown bread,brown bread,brown bread
1717,09-11-2015,other vegetables,other vegetables,vegetables
1888,06-06-2015,sliced cheese,sliced cheese,sliced cheese
2138,04-03-2015,root vegetables,root vegetables,root vegetables
1866,13-02-2015,bottled water,bottled water,bottled water
4745,29-09-2015,canned fish,canned fish,canned fish
1269,12-09-2015,whole milk,whole milk,whole milk
4721,15-06-2015,rum,rum,beverages
2885,22-03-2015,nut snack,nut snack,snacks
1435,24-04-2015,hard cheese,hard cheese,hard cheese
1887,03-02-2015,citrus fruit,citrus fruit,citrus fruit
4776,26-03-2015,pip fruit,pip fruit,pip fruit
4313,16-05-2015,seasonal products,seasonal products,seasonal products
3545,28-08-2015,berries,berries,berries
2307,12-03-2015,root vegetables,root vegetables,root vegetables
1215,18-01-2015,semi-finished bread,semifinished bread,semifinished bread
1428,18-01-2015,whole milk,whole milk,whole milk
4297,27-10-2015,butter milk,butter milk,dairy
1812,14-10-2015,yogurt,yogurt,yogurt
2217,02-12-2015,domestic eggs,domestic eggs,domestic eggs
2378,15-04-2015,pastry,pastry,pastry
2397,23-06-2015,newspapers,newspapers,stationery
3419,20-08-2015,soap,soap,soap
4131,29-03-2015,female sanitary products,female sanitary products,personal_care
2220,04-08-2015,bottled beer,bottled beer,beverages
3870,21-03-2015,processed cheese,processed cheese,dairy
1483,14-06-2015,specialty cheese,specialty cheese,specialty cheese
3449,29-11-2015,rolls/buns,rollsbuns,bakery
1959,13-12-2015,yogurt,yogurt,yogurt
4825,17-01-2015,butter,butter,butter
3289,02-05-2015,beef,beef,beef
1256,29-08-2015,butter,butter,butter
3369,23-03-2015,UHT-milk,uhtmilk,uhtmilk
2191,25-10-2015,butter milk,butter milk,dairy
4645,06-12-2015,bottled beer,bottled beer,beverages
3818,08-08-2015,margarine,margarine,margarine
3857,04-11-2015,light bulbs,light bulbs,light bulbs
3651,31-07-2015,shopping bags,shopping bags,bags
3689,29-07-2015,onions,onions,vegetables
2361,03-10-2015,other vegetables,other vegetables,vegetables
2513,15-12-2015,yogurt,yogurt,yogurt
2110,29-07-2015,frozen meals,frozen meals,frozen meals
4895,21-07-2015,pastry,pastry,pastry
2756,31-07-2015,misc. beverages,misc beverages,misc beverages
1960,09-01-2015,yogurt,yogurt,yogurt
3924,29-10-2015,semi-finished bread,semifinished bread,semifinished bread
3020,27-08-2015,white wine,white wine,beverages
4531,10-08-2015,herbs,herbs,herbs
4901,14-02-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
3787,24-09-2015,yogurt,yogurt,yogurt
3688,24-09-2015,rolls/buns,rollsbuns,bakery
4717,10-04-2015,brown bread,brown bread,brown bread
2210,25-09-2015,domestic eggs,domestic eggs,domestic eggs
4152,29-05-2015,pasta,pasta,grains
4507,18-06-2015,candy,candy,sweets
1118,13-05-2015,pickled vegetables,pickled vegetables,pickled vegetables
4953,07-05-2015,coffee,coffee,coffee
4417,21-01-2015,frozen meals,frozen meals,frozen meals
2358,15-12-2015,hard cheese,hard cheese,hard cheese
3122,05-02-2015,white bread,white bread,bakery
3920,10-05-2015,napkins,napkins,napkins
4592,08-12-2015,canned fish,canned fish,canned fish
1326,09-11-2015,yogurt,yogurt,yogurt
3729,29-11-2015,brown bread,brown bread,brown bread
2627,31-10-2015,yogurt,yogurt,yogurt
3393,07-11-2015,whole milk,whole milk,whole milk
4302,03-08-2015,yogurt,yogurt,yogurt
1734,15-02-2015,baking powder,baking powder,baking_ingredients
3635,26-02-2015,bottled beer,bottled beer,beverages
3232,18-12-2015,white wine,white wine,beverages
2805,18-04-2015,bottled water,bottled water,bottled water
2214,19-01-2015,root vegetables,root vegetables,root vegetables
4725,02-12-2015,white bread,white bread,bakery
4975,02-11-2015,beverages,beverages,beverages
3393,23-02-2015,coffee,coffee,coffee
4456,08-08-2015,cream cheese ,cream cheese,dairy
4744,29-08-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1264,30-07-2015,tropical fruit,tropical fruit,tropical fruit
3104,18-05-2015,spices,spices,spices
4966,25-01-2015,curd,curd,curd
4183,15-01-2015,domestic eggs,domestic eggs,domestic eggs
3786,10-02-2015,UHT-milk,uhtmilk,uhtmilk
3299,28-02-2015,cream cheese ,cream cheese,dairy
1656,07-07-2015,white bread,white bread,bakery
4753,05-03-2015,seasonal products,seasonal products,seasonal products
2857,18-04-2015,liquor (appetizer),liquor appetizer,liquor appetizer
3692,18-10-2015,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
2613,23-08-2015,domestic eggs,domestic eggs,domestic eggs
3509,08-07-2015,hygiene articles,hygiene articles,hygiene articles
3048,06-10-2015,coffee,coffee,coffee
1160,21-08-2015,coffee,coffee,coffee
2629,26-04-2015,long life bakery product,long life bakery product,bakery
1444,06-06-2015,pickled vegetables,pickled vegetables,pickled vegetables
2578,01-12-2015,curd,curd,curd
4184,28-06-2015,semi-finished bread,semifinished bread,semifinished bread
3201,27-11-2015,whole milk,whole milk,whole milk
3311,02-05-2015,frozen vegetables,frozen vegetables,vegetables
4294,08-01-2015,cling film/bags,cling filmbags,bags
2283,18-01-2015,shopping bags,shopping bags,bags
3325,07-11-2015,newspapers,newspapers,stationery
3621,02-11-2015,butter,butter,butter
1968,03-10-2015,citrus fruit,citrus fruit,citrus fruit
3717,01-04-2015,rolls/buns,rollsbuns,bakery
4704,18-08-2015,candy,candy,sweets
3904,11-05-2015,berries,berries,berries
2336,07-10-2015,frozen meals,frozen meals,frozen meals
3546,22-11-2015,rolls/buns,rollsbuns,bakery
3797,23-08-2015,other vegetables,other vegetables,vegetables
4607,15-12-2015,sliced cheese,sliced cheese,sliced cheese
4522,18-05-2015,candles,candles,decor
4695,13-10-2015,whole milk,whole milk,whole milk
4919,30-03-2015,pastry,pastry,pastry
3289,15-03-2015,rolls/buns,rollsbuns,bakery
1200,26-09-2015,rolls/buns,rollsbuns,bakery
3789,06-09-2015,root vegetables,root vegetables,root vegetables
1289,08-11-2015,brown bread,brown bread,brown bread
2415,29-04-2015,softener,softener,cleaning
1943,30-09-2015,whole milk,whole milk,whole milk
3685,26-08-2015,curd,curd,curd
3447,27-11-2015,mustard,mustard,oils
2164,08-10-2015,other vegetables,other vegetables,vegetables
4107,05-02-2015,domestic eggs,domestic eggs,domestic eggs
2744,19-05-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1051,12-08-2015,rolls/buns,rollsbuns,bakery
2087,09-04-2015,brown bread,brown bread,brown bread
1020,13-10-2015,rolls/buns,rollsbuns,bakery
4546,09-04-2015,pip fruit,pip fruit,pip fruit
1182,29-11-2015,pip fruit,pip fruit,pip fruit
2727,15-12-2015,whipped/sour cream,whippedsour cream,dairy
4314,29-04-2015,bottled beer,bottled beer,beverages
2745,19-02-2015,oil,oil,oils
3147,20-02-2015,Instant food products,instant food products,ready_meals
2677,07-12-2015,UHT-milk,uhtmilk,uhtmilk
2321,08-04-2015,whole milk,whole milk,whole milk
4708,02-10-2015,brown bread,brown bread,brown bread
3225,12-12-2015,other vegetables,other vegetables,vegetables
3401,28-09-2015,root vegetables,root vegetables,root vegetables
3735,27-04-2015,pet care,pet care,pet_care
2486,25-11-2015,yogurt,yogurt,yogurt
4790,15-08-2015,newspapers,newspapers,stationery
1730,19-09-2015,rolls/buns,rollsbuns,bakery
4724,12-02-2015,whole milk,whole milk,whole milk
4951,09-01-2015,whole milk,whole milk,whole milk
1341,30-10-2015,berries,berries,berries
4519,02-09-2015,frozen vegetables,frozen vegetables,vegetables
2914,01-04-2015,rolls/buns,rollsbuns,bakery
3916,04-10-2015,citrus fruit,citrus fruit,citrus fruit
4145,11-04-2015,rolls/buns,rollsbuns,bakery
3657,27-01-2015,domestic eggs,domestic eggs,domestic eggs
2546,07-05-2015,mustard,mustard,oils
2738,03-02-2015,root vegetables,root vegetables,root vegetables
1491,30-12-2015,pork,pork,meat
3268,18-04-2015,margarine,margarine,margarine
1820,07-04-2015,ham,ham,meat
1923,06-12-2015,other vegetables,other vegetables,vegetables
2968,17-10-2015,shopping bags,shopping bags,bags
4970,08-08-2015,pastry,pastry,pastry
4827,03-10-2015,rolls/buns,rollsbuns,bakery
3474,07-04-2015,dishes,dishes,dishes
4417,19-03-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
3061,05-11-2015,domestic eggs,domestic eggs,domestic eggs
4364,25-05-2015,butter,butter,butter
2887,17-01-2015,whole milk,whole milk,whole milk
1292,24-10-2015,pork,pork,meat
1693,27-12-2015,pastry,pastry,pastry
2267,07-01-2015,long life bakery product,long life bakery product,bakery
2663,10-09-2015,pastry,pastry,pastry
1551,11-06-2015,yogurt,yogurt,yogurt
3421,12-05-2015,yogurt,yogurt,yogurt
2785,12-07-2015,whole milk,whole milk,whole milk
4326,02-05-2015,sweet spreads,sweet spreads,sweet spreads
2871,20-12-2015,root vegetables,root vegetables,root vegetables
4969,26-05-2015,bottled water,bottled water,bottled water
3463,24-09-2015,yogurt,yogurt,yogurt
1504,30-11-2015,whole milk,whole milk,whole milk
2528,19-10-2015,margarine,margarine,margarine
1959,15-05-2015,semi-finished bread,semifinished bread,semifinished bread
2479,13-01-2015,newspapers,newspapers,stationery
4809,13-04-2015,curd,curd,curd
4047,06-03-2015,beverages,beverages,beverages
2781,11-01-2015,yogurt,yogurt,yogurt
1837,03-01-2015,root vegetables,root vegetables,root vegetables
3288,26-04-2015,whole milk,whole milk,whole milk
1152,20-04-2015,frozen meals,frozen meals,frozen meals
1641,23-06-2015,whipped/sour cream,whippedsour cream,dairy
2685,19-07-2015,other vegetables,other vegetables,vegetables
3599,08-01-2015,citrus fruit,citrus fruit,citrus fruit
2114,06-11-2015,whole milk,whole milk,whole milk
2019,08-09-2015,other vegetables,other vegetables,vegetables
4019,19-03-2015,grapes,grapes,fruits
3663,28-06-2015,white bread,white bread,bakery
3170,03-12-2015,yogurt,yogurt,yogurt
3537,24-09-2015,curd,curd,curd
3918,22-06-2015,beef,beef,beef
3507,22-07-2015,pastry,pastry,pastry
4453,22-05-2015,brown bread,brown bread,brown bread
2769,31-07-2015,rolls/buns,rollsbuns,bakery
4151,02-11-2015,whole milk,whole milk,whole milk
2291,10-04-2015,canned fish,canned fish,canned fish
1677,21-02-2015,specialty chocolate,specialty chocolate,sweets
1499,06-03-2015,frozen vegetables,frozen vegetables,vegetables
2274,05-01-2015,rolls/buns,rollsbuns,bakery
2186,02-04-2015,canned beer,canned beer,beverages
4437,07-08-2015,chewing gum,chewing gum,chewing gum
4856,03-01-2015,specialty bar,specialty bar,specialty bar
3413,23-09-2015,chocolate,chocolate,sweets
4741,25-09-2015,whole milk,whole milk,whole milk
4406,27-05-2015,chewing gum,chewing gum,chewing gum
2601,30-04-2015,specialty chocolate,specialty chocolate,sweets
4845,12-10-2015,berries,berries,berries
3695,09-07-2015,sliced cheese,sliced cheese,sliced cheese
2202,28-02-2015,curd,curd,curd
1027,25-02-2015,red/blush wine,redblush wine,beverages
1744,28-09-2015,bottled beer,bottled beer,beverages
4864,04-12-2015,pip fruit,pip fruit,pip fruit
3730,27-07-2015,other vegetables,other vegetables,vegetables
2127,01-01-2015,pickled vegetables,pickled vegetables,pickled vegetables
2672,26-11-2015,pastry,pastry,pastry
1930,02-02-2015,specialty bar,specialty bar,specialty bar
3623,07-05-2015,liquor,liquor,beverages
4082,01-05-2015,root vegetables,root vegetables,root vegetables
4387,26-07-2015,brown bread,brown bread,brown bread
4424,22-08-2015,red/blush wine,redblush wine,beverages
3630,24-07-2015,curd,curd,curd
2202,28-05-2015,rolls/buns,rollsbuns,bakery
3036,18-09-2015,whole milk,whole milk,whole milk
4529,10-05-2015,other vegetables,other vegetables,vegetables
1968,16-02-2015,frozen meals,frozen meals,frozen meals
1511,22-03-2015,shopping bags,shopping bags,bags
1503,17-08-2015,whole milk,whole milk,whole milk
2091,30-07-2015,onions,onions,vegetables
1651,22-02-2015,bottled water,bottled water,bottled water
1553,20-03-2015,mustard,mustard,oils
4746,09-12-2015,yogurt,yogurt,yogurt
2902,12-06-2015,other vegetables,other vegetables,vegetables
4205,29-01-2015,whipped/sour cream,whippedsour cream,dairy
1508,15-11-2015,canned beer,canned beer,beverages
2403,01-12-2015,yogurt,yogurt,yogurt
4705,22-05-2015,canned beer,canned beer,beverages
1285,21-07-2015,hygiene articles,hygiene articles,hygiene articles
4238,03-12-2015,onions,onions,vegetables
1938,08-05-2015,rolls/buns,rollsbuns,bakery
3402,23-05-2015,dessert,dessert,dessert
4031,18-10-2015,soda,soda,soda
1739,31-05-2015,soda,soda,soda
2104,27-02-2015,candy,candy,sweets
4516,07-12-2015,candy,candy,sweets
3485,22-07-2015,tropical fruit,tropical fruit,tropical fruit
4462,07-06-2015,citrus fruit,citrus fruit,citrus fruit
2544,29-01-2015,berries,berries,berries
2805,30-08-2015,ice cream,ice cream,ice cream
2969,24-08-2015,canned fish,canned fish,canned fish
3563,25-11-2015,whole milk,whole milk,whole milk
2683,18-01-2015,red/blush wine,redblush wine,beverages
3776,18-07-2015,soda,soda,soda
1331,29-11-2015,root vegetables,root vegetables,root vegetables
1498,28-05-2015,dessert,dessert,dessert
3890,11-01-2015,rolls/buns,rollsbuns,bakery
4559,07-02-2015,whole milk,whole milk,whole milk
2723,31-01-2015,dishes,dishes,dishes
2925,11-12-2015,cake bar,cake bar,sweets
3684,15-02-2015,chocolate,chocolate,sweets
1770,19-11-2015,shopping bags,shopping bags,bags
3661,17-06-2015,butter,butter,butter
1044,25-10-2015,curd,curd,curd
3031,25-11-2015,brown bread,brown bread,brown bread
3028,19-05-2015,yogurt,yogurt,yogurt
3035,04-03-2015,rolls/buns,rollsbuns,bakery
3189,23-11-2015,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
3766,08-11-2015,shopping bags,shopping bags,bags
4540,04-08-2015,beverages,beverages,beverages
4362,11-07-2015,frozen vegetables,frozen vegetables,vegetables
4355,21-11-2015,bottled beer,bottled beer,beverages
1510,25-10-2015,soda,soda,soda
4299,14-08-2015,rolls/buns,rollsbuns,bakery
1982,14-12-2015,butter,butter,butter
3365,13-08-2015,cat food,cat food,pet_care
3653,09-11-2015,red/blush wine,redblush wine,beverages
1795,03-04-2015,whole milk,whole milk,whole milk
4693,24-04-2015,whipped/sour cream,whippedsour cream,dairy
4219,16-10-2015,long life bakery product,long life bakery product,bakery
3636,14-05-2015,whole milk,whole milk,whole milk
1595,11-04-2015,soda,soda,soda
3196,05-05-2015,whole milk,whole milk,whole milk
2657,21-05-2015,frozen dessert,frozen dessert,frozen dessert
4656,14-10-2015,grapes,grapes,fruits
4239,11-02-2015,berries,berries,berries
1510,21-08-2015,whole milk,whole milk,whole milk
3462,21-01-2015,nut snack,nut snack,snacks
3794,01-11-2015,liquor (appetizer),liquor appetizer,liquor appetizer
1408,01-03-2015,soda,soda,soda
3686,29-08-2015,other vegetables,other vegetables,vegetables
2273,28-02-2015,soft cheese,soft cheese,dairy
4693,13-03-2015,female sanitary products,female sanitary products,personal_care
2597,13-02-2015,onions,onions,vegetables
1551,21-07-2015,curd,curd,curd
2888,08-01-2015,brown bread,brown bread,brown bread
1631,14-08-2015,herbs,herbs,herbs
3564,04-07-2015,bottled water,bottled water,bottled water
4277,25-11-2015,grapes,grapes,fruits
4410,12-10-2015,salty snack,salty snack,snacks
3455,18-11-2015,soft cheese,soft cheese,dairy
2467,05-07-2015,nuts/prunes,nutsprunes,nutsprunes
2235,19-01-2015,processed cheese,processed cheese,dairy
2145,21-01-2015,soda,soda,soda
3310,08-03-2015,grapes,grapes,fruits
2876,19-09-2015,chewing gum,chewing gum,chewing gum
3736,26-02-2015,root vegetables,root vegetables,root vegetables
3402,16-08-2015,sauces,sauces,condiments
1397,21-12-2015,whipped/sour cream,whippedsour cream,dairy
3497,15-08-2015,white bread,white bread,bakery
3044,07-06-2015,UHT-milk,uhtmilk,uhtmilk
1296,23-11-2015,yogurt,yogurt,yogurt
3999,16-11-2015,rolls/buns,rollsbuns,bakery
2492,10-11-2015,whole milk,whole milk,whole milk
1572,21-09-2015,candy,candy,sweets
4224,29-01-2015,brown bread,brown bread,brown bread
2352,31-01-2015,shopping bags,shopping bags,bags
3609,23-02-2015,frozen meals,frozen meals,frozen meals
4142,17-11-2015,beverages,beverages,beverages
2736,26-12-2015,butter milk,butter milk,dairy
2517,20-03-2015,domestic eggs,domestic eggs,domestic eggs
4999,18-02-2015,onions,onions,vegetables
4338,24-03-2015,pickled vegetables,pickled vegetables,pickled vegetables
2215,26-11-2015,cream cheese ,cream cheese,dairy
2745,21-04-2015,other vegetables,other vegetables,vegetables
2861,12-03-2015,tropical fruit,tropical fruit,tropical fruit
